"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Juan Soto","SDP","150","675","524","147","27","2","33","113","95","137","93","5","9","4","",".281",".431",".529",".960",".411","172","","-1.1","-0.9","","55.7","-11.5","7.0","","999.0","20123"
"Aaron Judge","","150","677","567","156","25","1","44","111","106","95","169","6","10","4","",".276",".382",".555",".937",".395","163","","0.0","3.4","","47.9","-3.6","6.9","","999.0","15640"
"Julio Rodríguez","SEA","149","679","606","167","32","3","32","100","86","54","160","9","25","9","",".276",".342",".497",".840",".360","142","","1.6","-1.0","","33.7","1.5","6.0","","999.0","23697"
"Mookie Betts","LAD","150","693","603","162","36","3","31","108","85","71","110","9","15","4","",".269",".352",".492",".844",".365","139","","1.8","6.8","","32.9","0.0","5.9","","999.0","13611"
"Adley Rutschman","BAL","130","579","492","126","30","1","19","78","66","73","99","6","4","2","",".256",".357",".439",".797",".350","130","","0.5","0.4","","20.0","7.0","5.9","","999.0","26288"
"Wander Franco","TBR","144","649","583","167","37","6","16","87","76","53","70","5","10","4","",".286",".348",".454",".802",".348","134","","0.7","0.8","","25.3","7.2","5.6","","999.0","23667"
"Mike Trout","LAA","150","677","572","147","28","2","40","105","99","88","179","8","3","1","",".256",".360",".521",".881",".374","145","","-0.2","-4.8","","34.5","-2.9","5.6","","999.0","10155"
"Yordan Alvarez","HOU","139","602","519","147","31","2","36","91","105","71","124","7","2","1","",".284",".375",".557",".932",".395","163","","-0.4","2.1","","42.0","-8.1","5.6","","999.0","19556"
"Fernando Tatis Jr.","SDP","125","552","481","136","26","2","37","92","94","59","125","6","20","7","",".283",".365",".574",".939",".398","163","","2.0","-0.1","","42.8","-8.7","5.5","","999.0","19709"
"Ronald Acuña Jr.","ATL","147","682","580","157","32","1","31","110","81","80","156","12","35","11","",".270",".367",".487",".854",".369","137","","4.1","1.8","","33.6","-4.9","5.4","","999.0","18401"
"Vladimir Guerrero Jr.","TOR","150","665","584","171","32","1","40","101","113","67","102","7","6","3","",".292",".369",".554",".923",".393","161","","-1.8","-0.9","","43.8","-13.6","5.4","","999.0","19611"
"José Ramírez","CLE","150","663","578","151","35","4","30","91","98","72","89","7","20","6","",".262",".348",".489",".837",".354","133","","2.3","1.5","","26.7","2.3","5.3","","999.0","13510"
"Nolan Arenado","STL","150","649","586","158","33","1","29","85","100","52","86","6","4","2","",".269",".332",".481",".814",".349","130","","-0.3","4.0","","22.1","5.9","5.2","","999.0","9777"
"Carlos Correa","","147","650","571","156","30","2","24","82","85","67","124","5","1","1","",".273",".353",".458",".811",".352","130","","-0.9","-1.5","","21.8","5.0","5.1","","999.0","14162"
"Alex Bregman","HOU","150","660","558","147","35","1","25","88","90","87","85","9","2","1","",".263",".368",".460",".828",".362","139","","-1.2","-2.4","","27.6","-0.3","5.1","","999.0","17678"
"Kyle Tucker","HOU","150","620","552","155","33","2","33","88","97","58","99","3","19","6","",".281",".350",".530",".881",".376","149","","1.2","0.9","","35.2","-6.7","5.1","","999.0","18345"
"Brandon Nimmo","NYM","149","689","584","156","30","5","17","97","66","82","125","12","6","3","",".267",".367",".427",".794",".350","133","","-0.2","-4.5","","26.2","-2.0","5.0","","999.0","12927"
"Manny Machado","SDP","150","663","588","158","30","1","30","89","98","65","124","3","8","3","",".268",".342",".475",".817",".349","130","","-0.4","-0.1","","22.7","1.6","4.9","","999.0","11493"
"Freddie Freeman","LAD","150","675","579","170","34","2","25","100","89","81","103","7","9","3","",".293",".383",".489",".872",".374","145","","0.0","-0.7","","35.3","-13.2","4.7","","999.0","5361"
"Trea Turner","PHI","150","687","624","177","34","4","21","94","76","47","120","5","23","6","",".284",".337",".450",".787",".341","119","","3.2","-4.4","","18.6","2.8","4.7","","999.0","16252"
"Corey Seager","TEX","143","641","566","154","32","2","27","88","82","60","101","7","3","1","",".271",".346",".478",".824",".354","133","","-0.1","-4.7","","23.8","0.2","4.7","","999.0","13624"
"Jose Altuve","HOU","149","690","605","165","33","1","26","102","77","66","101","8","12","4","",".274",".350",".459",".809",".352","132","","0.2","-4.4","","25.0","-2.7","4.6","","999.0","5417"
"J.T. Realmuto","PHI","129","555","497","127","24","4","20","68","73","42","123","10","12","4","",".256",".324",".438",".762",".331","112","","1.9","4.9","","9.8","12.6","4.6","","999.0","11739"
