"Name","Team","GS","G","IP","W","L","QS","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","-1","ADP","playerid"
"Jacob deGrom","TEX","29","29","172.0","12","8","20","0","0","129","51","17","236","35","0.95","12.32","1.85","2.65","2.35","","5.5","5.0","","27.9","10954"
"Corbin Burnes","MIL","32","32","197.0","13","10","21","0","0","161","69","21","239","55","1.10","10.92","2.51","3.15","3.03","","4.9","4.8","","15.5","19361"
"Carlos Rodón","NYY","31","31","181.0","13","9","19","0","0","140","63","21","235","50","1.06","11.69","2.50","3.14","2.98","","4.5","4.0","","53.4","16137"
"Gerrit Cole","NYY","32","32","197.0","14","9","21","0","0","159","70","25","249","49","1.05","11.36","2.23","3.19","3.04","","4.4","4.1","","19.1","13125"
"Shohei Ohtani","LAA","29","29","173.0","12","8","18","0","0","139","61","19","217","51","1.10","11.27","2.64","3.15","3.05","","4.4","4.1","","8.5","19755"
"Max Scherzer","NYM","31","31","191.0","13","9","20","0","0","158","70","25","229","41","1.04","10.78","1.92","3.30","3.19","","4.3","3.7","","55.3","3137"
"Justin Verlander","NYM","31","31","190.0","13","9","20","0","0","162","70","25","214","38","1.06","10.16","1.82","3.33","3.29","","4.2","3.6","","47.7","8700"
"Aaron Nola","PHI","32","32","199.0","13","10","20","0","0","179","77","25","218","43","1.12","9.85","1.95","3.49","3.32","","4.2","4.1","","39.9","16149"
"Shane McClanahan","TBR","31","31","184.0","13","9","20","0","0","152","62","18","214","51","1.10","10.47","2.50","3.02","2.99","","4.0","4.1","","39.5","21483"
"Sandy Alcantara","MIA","32","32","211.0","12","12","22","0","0","198","83","21","200","55","1.20","8.56","2.33","3.55","3.42","","4.0","3.7","","27.3","18684"
"Zack Wheeler","PHI","31","31","189.0","12","10","19","0","0","173","72","21","190","45","1.16","9.01","2.16","3.44","3.38","","3.9","4.0","","53.5","10310"
"Spencer Strider","ATL","28","28","154.0","12","7","16","0","0","117","53","16","208","56","1.12","12.16","3.27","3.10","2.93","","3.7","3.9","","34.6","27498"
"Framber Valdez","HOU","31","31","196.0","14","9","21","0","0","180","70","14","185","68","1.27","8.53","3.15","3.24","3.32","","3.7","4.0","","84.1","17295"
"Shane Bieber","CLE","32","32","203.0","13","10","21","0","0","187","78","24","209","48","1.16","9.28","2.14","3.48","3.38","","3.7","3.6","","58.8","19427"
"Brandon Woodruff","MIL","31","31","182.0","12","10","18","0","0","156","70","23","208","51","1.13","10.28","2.50","3.47","3.39","","3.7","3.8","","36.9","16162"
